product_id,product_name,category,sub_category,price,Price_Status,cost,Cost_Status
P001,Wireless Mouse Pro,Electronics,Audio,4021.24,Valid,2062.95,Valid
P002,Shoe Rack Plus,Furniture,Chairs,3404.58,Valid,2254.8,Valid
P003,Bookshelf Classic,Furniture,Bedroom,12488.38,Valid,8246,Valid
P004,Hair Serum Pro,Beauty,Hair Care,10916.96,Valid,6221.96,Valid
P005,Bedside Table 2026,Furniture,Chairs,5903.84,Valid,2881.07,Valid
P006,Denim Jeans Plus,Fashion,Bags,2824.85,Valid,2162.6,Valid
P007,Shampoo Plus,Beauty,Skin Care,7336.17,Valid,3635.92,Valid
P008,Lip Balm 2026,Beauty,Skin Care,5680.59,Valid,2642.63,Valid
P009,Perfume,Beauty,Fragrance,0,Invalid,6933.76,Valid
P010,Lip Balm Pro,Beauty,Skin Care,3965.87,Valid,2847.7,Valid
P011,Earbuds Premium,Electronics,Smart Devices,2996.51,Valid,2092.17,Valid
P012,Wireless Mouse 2026,Electronics,Accessories,9886.28,Valid,6828.64,Valid
P013,Wall Clock Plus,Home & Kitchen,Appliances,2489.72,Valid,1688.16,Valid
P014,Bottle Lite,Home & Kitchen,Storage,9254.83,Valid,7377.3,Valid
P015,Wardrobe,Furniture,Tables,2844.05,Valid,1836.35,Valid
P016,Shoe Rack Lite,Furniture,Storage Furniture,11657.08,Valid,6870.05,Valid
P017,Handbag,Fashion,Footwear,11789.02,Valid,9221.79,Valid
P018,Earbuds Lite,Electronics,Audio,12051.64,Valid,8013.24,Valid
P019,Skipping Rope 2026,Sports,Fitness,14474.64,Valid,6540.39,Valid
P020,Webcam 2026,Electronics,Audio,1503.48,Valid,815.01,Valid
P021,Mixer Grinder 2026,Home & Kitchen,Cookware,13973.14,Valid,8247.31,Valid
P022,Yoga Mat Pro,Sports,Sportswear,9675.31,Valid,5840.41,Valid
P023,Handbag Basic,Fashion,Women'S Wear,11801.6,Valid,7419.57,Valid
P024,Skipping Rope Basic,Sports,Outdoor,5523.15,Valid,3751.64,Valid
P025,Sneakers 2026,Fashion,Footwear,5425.29,Valid,3191.7,Valid
P026,Face Wash Plus,Beauty,Hair Care,13802.83,Valid,8866.35,Valid
P027,Water Bottle Premium,Sports,Sportswear,3548.17,Valid,2792.66,Valid
P028,Office Chair Premium,Furniture,Bedroom,2789.51,Valid,1749.53,Valid
P029,Hair Serum Lite,Beauty,Skin Care,14214.83,Valid,10391.46,Valid
P030,Lamp 2026,Home & Kitchen,Storage,8533.9,Valid,6140.04,Valid
P031,Lamp Basic,Home & Kitchen,Appliances,7332.16,Valid,3961.1,Valid
